customer_id,segment,ltv,whatsapp_consent,opt_out_status
CUST_001,Low,2000,True,True
CUST_002,High,500,True,True
CUST_003,Low,500,False,True
CUST_004,High,15000,True,False
CUST_005,Low,500,True,False
CUST_006,High,2000,True,False
CUST_007,Medium,500,False,False
CUST_008,Medium,2000,True,False
CUST_009,High,2000,True,False
CUST_010,Low,2000,True,False
CUST_011,Medium,15000,True,False
CUST_012,High,500,True,False
CUST_013,High,500,True,False
CUST_014,Low,15000,True,False
CUST_015,High,2000,True,False
CUST_016,Medium,500,True,False
CUST_017,Low,15000,True,False
CUST_018,Medium,500,True,False
CUST_019,Low,2000,False,False
CUST_020,Medium,500,True,False
CUST_021,Low,500,True,False
CUST_022,Low,15000,True,False
CUST_023,Low,15000,True,False
CUST_024,High,500,True,False
CUST_025,High,500,True,False
CUST_026,Medium,15000,False,False
CUST_027,High,2000,False,False
CUST_028,Medium,500,True,False
CUST_029,Medium,2000,False,False
CUST_030,Medium,500,False,False
CUST_031,High,15000,True,False
CUST_032,Medium,500,True,False
CUST_033,Medium,500,True,False
CUST_034,Medium,15000,True,False
CUST_035,Medium,500,True,False
CUST_036,High,2000,True,False
CUST_037,Low,2000,True,False
CUST_038,High,500,False,False
CUST_039,High,500,True,False
CUST_040,Medium,15000,False,False
CUST_041,High,15000,True,False
CUST_042,High,15000,True,False
CUST_043,Low,2000,True,False
CUST_044,Medium,500,False,False
CUST_045,Low,15000,True,False
CUST_046,Medium,2000,False,False
CUST_047,Medium,15000,True,False
CUST_048,High,500,True,False
CUST_049,Low,15000,True,False
CUST_050,Medium,15000,False,False
CUST_051,Medium,15000,True,False
CUST_052,Medium,15000,False,False
CUST_053,Medium,15000,False,False
CUST_054,Medium,500,True,False
CUST_055,Medium,500,True,False
CUST_056,Medium,2000,True,False
CUST_057,High,500,False,False
CUST_058,Medium,15000,True,False
CUST_059,High,15000,True,False
CUST_060,Low,2000,False,False
CUST_061,High,500,True,False
CUST_062,Medium,2000,True,False
CUST_063,Low,2000,True,False
CUST_064,High,500,True,False
CUST_065,Medium,500,False,False
CUST_066,High,15000,True,False
CUST_067,Medium,15000,False,False
CUST_068,Low,2000,False,False
CUST_069,Medium,500,False,False
CUST_070,Medium,2000,True,False
CUST_071,Low,2000,True,False
CUST_072,High,15000,False,False
CUST_073,High,15000,False,False
CUST_074,Medium,2000,True,False
CUST_075,Low,15000,True,False
CUST_076,Medium,15000,False,False
CUST_077,High,500,True,False
CUST_078,High,15000,False,False
CUST_079,Low,2000,True,False
CUST_080,Low,2000,True,False
CUST_081,Low,500,True,False
CUST_082,Low,15000,True,False
CUST_083,High,500,True,False
CUST_084,High,2000,True,False
CUST_085,Medium,2000,False,False
CUST_086,Low,15000,True,False
CUST_087,Medium,2000,True,False
CUST_088,Low,500,True,False
CUST_089,Medium,500,True,False
CUST_090,Low,15000,False,False
CUST_091,Low,15000,False,False
CUST_092,Medium,15000,True,False
CUST_093,Medium,15000,True,False
CUST_094,High,500,False,False
CUST_095,High,500,True,False
CUST_096,Medium,15000,False,False
CUST_097,High,2000,False,False
CUST_098,Medium,500,True,False
CUST_099,High,15000,False,False
CUST_100,High,500,True,False
CUST_101,Medium,500,True,False
CUST_102,Low,15000,True,False
CUST_103,Low,2000,True,False
CUST_104,Low,500,True,False
CUST_105,Medium,500,True,False
CUST_106,High,500,True,False
CUST_107,Low,15000,False,False
CUST_108,Low,2000,True,False
CUST_109,Medium,15000,True,False
CUST_110,Medium,500,True,False
CUST_111,High,15000,False,False
CUST_112,Medium,500,True,False
CUST_113,Medium,500,True,False
CUST_114,High,2000,False,False
CUST_115,Medium,500,True,False
CUST_116,High,15000,False,False
CUST_117,Low,15000,True,False
CUST_118,Medium,15000,False,False
CUST_119,Low,500,False,False
CUST_120,Medium,2000,True,False
CUST_121,High,15000,True,False
CUST_122,Medium,15000,True,False
CUST_123,Low,500,True,False
CUST_124,Low,500,True,False
CUST_125,High,15000,True,False
CUST_126,Medium,2000,True,False
CUST_127,Low,500,True,False
CUST_128,Low,2000,True,False
CUST_129,High,15000,True,False
CUST_130,Low,15000,True,False
CUST_131,Medium,15000,True,False
CUST_132,High,15000,True,False
CUST_133,High,15000,True,False
CUST_134,High,500,False,False
CUST_135,Low,15000,False,False
CUST_136,Low,500,True,False
CUST_137,Low,500,True,False
CUST_138,Low,2000,False,False
CUST_139,Medium,15000,False,False
CUST_140,Low,2000,False,False
CUST_141,Medium,2000,True,False
CUST_142,Low,2000,False,False
CUST_143,Low,500,False,False
CUST_144,Low,500,True,False
CUST_145,High,2000,True,False
CUST_146,High,15000,True,False
CUST_147,High,15000,True,False
CUST_148,High,15000,True,False
CUST_149,Medium,15000,True,False
CUST_150,Medium,2000,True,False
